date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:06:59	206268/206268	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:07%20GMT	https://uae.citizenshop.me/men/eco-drive	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/men/eco-drive.html	(from https://uae.citizenshop.me/)
04:06:59	124390/124390	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2010:33:00%20GMT	https://citizenshop.me/assets/images/tbl_other_images/92d92-citizen-eco-drive.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/92d92-citizen-eco-drive.jpg	(from https://uae.citizenshop.me/)
04:07:00	205361/205361	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:08%20GMT	https://uae.citizenshop.me/men/promaster	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/men/promaster.html	(from https://uae.citizenshop.me/)
04:07:00	109265/109265	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Apr%202023%2007:59:04%20GMT	https://citizenshop.me/assets/images/tbl_other_images/bf055-1179x599_jy8125-54l.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/bf055-1179x599_jy8125-54l.jpg	(from https://uae.citizenshop.me/)
04:07:01	137667/137667	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:09%20GMT	https://uae.citizenshop.me/men/satellite-wave	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/men/satellite-wave.html	(from https://uae.citizenshop.me/)
04:07:01	191772/191772	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2011:25:06%20GMT	https://citizenshop.me/assets/images/tbl_other_images/7e40a-citizen-satellite-wave-gps-wathces.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/7e40a-citizen-satellite-wave-gps-wathces.jpg	(from https://uae.citizenshop.me/)
04:07:03	205153/205153	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:11%20GMT	https://uae.citizenshop.me/men/mechanical	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/men/mechanical.html	(from https://uae.citizenshop.me/)
04:07:03	136207/136207	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Apr%202022%2006:38:42%20GMT	https://citizenshop.me/assets/images/tbl_other_images/0393d-1179x599.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/0393d-1179x599.jpg	(from https://uae.citizenshop.me/)
04:07:04	202123/202123	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:11%20GMT	https://uae.citizenshop.me/men/quartz-collection	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/men/quartz-collection.html	(from https://uae.citizenshop.me/)
04:07:04	116565/116565	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2011:44:53%20GMT	https://citizenshop.me/assets/images/tbl_other_images/e116e-citizen-quarts-watches.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/e116e-citizen-quarts-watches.jpg	(from https://uae.citizenshop.me/)
